Name,ViewCount,CurrentPosition,WeekStartDate
Wiz Khalifa,13905187,33,20171026
J Balvin,13882426,34,20171026
Laberinto,13456210,35,20171026
Rihanna,13441627,36,20171026
SZA,13041498,37,20171026
Camila Cabello,13020123,38,20171026
Lil Wayne,12353937,39,20171026
Romeo Santos,12278682,40,20171026
Khalid,12214464,41,20171026
Demi Lovato,12205881,42,20171026
Katy Perry,12177420,43,20171026
Luis Fonsi,12045267,44,20171026
Tierra Cali,12009419,45,20171026
DJ Khaled,11941378,46,20171026
Bad Bunny,11510822,47,20171026
Chalino Sánchez,11369136,48,20171026
BTS,11320292,49,20171026
Shakira,11301261,50,20171026
Daddy Yankee,11240712,51,20171026
Chief Keef,11162282,52,20171026
Meek Mill,11107901,53,20171026
The Weeknd,10817550,54,20171026
Russ,10699556,55,20171026
Kendrick Lamar,10643044,56,20171026
Sam Smith,10588805,57,20171026
Linkin Park,10514076,58,20171026
Drake,10294470,59,20171026
Marco Antonio Solís,10252270,60,20171026
blackbear,10143896,61,20171026
Grupo Bronco,10137656,62,20171026
TWENTY ØNE PILØTS,10110718,63,20171026
Charlie Puth,10036992,64,20171026
Tay-K,9739674,65,20171026
Tupac,9710809,66,20171026
Nicki Minaj,9620048,67,20171026
Los Plebes del Rancho de Ariel Camacho,9487688,68,20171026
Mike WiLL Made-It,9485741,69,20171026
Maroon 5,9469048,70,20171026
Calibre 50,9454566,71,20171026
The Chainsmokers,9316518,72,20171026
Elvis Presley,9303996,73,20171026
$uicideboy$,9214398,74,20171026
Los Inquietos del Norte,9050747,75,20171026
Ayo & Teo,8916913,76,20171026
Migos,8852277,77,20171026
Los Tucanes De Tijuana,8730771,78,20171026
Jenni Rivera,8540072,79,20171026
Metallica,8492829,80,20171026
R. Kelly,8478083,81,20171026
Jacquees,8447093,82,20171026
Skillet,8315421,83,20171026
Willy William,8280588,84,20171026
Dua Lipa,8226509,85,20171026
Justin Bieber,8212079,86,20171026
Marshmello,8174272,87,20171026
Kane Brown,8129298,88,20171026
Ariana Grande,8085249,89,20171026
Grupo Bryndis,8025355,90,20171026
YFN Lucci,7983952,91,20171026
G-Eazy,7973835,92,20171026
Enrique Iglesias,7873699,93,20171026
Halsey,7853947,94,20171026
Pink Floyd,7802706,95,20171026
Antonio Aguilar,7784659,96,20171026
Trippie Redd,7669640,97,20171026
French Montana,7645753,98,20171026
Juan Gabriel,7457205,99,20171026
P!nk,7338445,100,20171026
Chris Brown,29802629,1,20171102
Future,29401054,2,20171102
Taylor Swift,29117234,3,20171102
Lil Pump,28997124,4,20171102
Post Malone,28763565,5,20171102
Kodak Black,26065506,6,20171102
Cardi B,24993937,7,20171102
Gucci Mane,22998861,8,20171102
Michael Jackson,22192732,9,20171102
Ed Sheeran,21771229,10,20171102
YoungBoy Never Broke Again,21753229,11,20171102
Ozuna,20909751,12,20171102
Eminem,20117443,13,20171102
21 Savage,19802025,14,20171102
Camila Cabello,19479726,15,20171102
Los Caminantes,19311805,16,20171102
Imagine Dragons,19118824,17,20171102
Lil Uzi Vert,18788684,18,20171102
