rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
28,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",16,19,3,"3279947"
29,"spotify:track:5XFoaqV1Z8XaLJidchVWhh","Kid Cudi","love.","Universal Records",29,-1,1,"3233804"
30,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",30,42,12,"3204934"
31,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,32,53,"3145084"
32,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",19,33,99,"3096982"
33,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",10,38,231,"3096530"
34,"spotify:track:1qMMYpVatbRITKCfq1gasi","Future","PUFFIN ON ZOOTIEZ","Epic/Freebandz",4,31,11,"3037307"
35,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","Universal Music Latino",22,34,12,"3033236"
36,"spotify:track:32vE1nuG8T9c8bhmZdRY6d","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",4,35,9,"3018990"
37,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",37,45,70,"3018777"
38,"spotify:track:3S68RFe1lsdCdTMPIMJM3X","Pharrell Williams, 21 Savage, Tyler, The Creator","Cash In Cash Out","Columbia",10,26,5,"3011340"
39,"spotify:track:48UKTR66uUOT9LaUvooTNx","Luke Combs","The Kind of Love We Make","River House Artists/Columbia Nashville",15,30,4,"2996587"
40,"spotify:track:3zakx7RAwdkUQlOoQ7SJRt","Brent Faiyaz, Dahi, Tyler, The Creator","GRAVITY (FEAT. TYLER, THE CREATOR)","Lost Kids LLC., Marketed by Venice / Stem",36,-1,8,"2969222"
41,"spotify:track:3cBsEDNhFI9E82vPj3kvi3","Morgan Wallen","Wasted On You","Big Loud / Republic",3,37,77,"2966280"
42,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",10,39,43,"2941864"
43,"spotify:track:4rmVZajAF7PkrCagGPHbqa","Drake","Sticky","OVO",6,28,4,"2862108"
44,"spotify:track:41oY4WCTj5kccfesTVFnvN","Bad Bunny, Jhayco","Tarot","Rimas Entertainment LLC",11,40,10,"2857524"
45,"spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)","OVO",2,44,45,"2853744"
46,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",46,48,9,"2841382"
47,"spotify:track:4xKQtLZn8m2d2KJy13ZujE","Brent Faiyaz","PRICE OF FAME","Lost Kids LLC., Marketed by Venice / Stem",47,-1,1,"2808034"
48,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",7,41,55,"2774439"
49,"spotify:track:37y7iDayfwm3WXn5BiAoRk","Steve Lacy","Dark Red","Three Quarter",16,58,49,"2703796"
50,"spotify:track:3uJFmluXzYedoJcvhpC1AW","Cardi B, Kanye West, Lil Durk","Hot Shit (feat. Ye & Lil Durk)","Atlantic Records",14,14,2,"2690349"
51,"spotify:track:0oiv4E896TUTTeQU0cmIui","Drake","Massive","OVO",9,36,4,"2685150"
52,"spotify:track:6foY66mWZN0pSRjZ408c00","Morgan Wallen","Whiskey Glasses","Big Loud Records",43,43,166,"2671374"
53,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",18,55,78,"2654382"
54,"spotify:track:4686eQ81DEswHa90bcdlC9","Bailey Zimmerman","Rock and A Hard Place","Warner Music Nashville/Elektra",43,61,5,"2648690"
55,"spotify:track:6EbVuwU7EnKeF2hdpViXCH","Sleepy Hallow, 347aidan","Die Young (feat. 347aidan)","Winners Circle/RCA Records",32,46,7,"2635622"
56,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,50,61,"2605943"
57,"spotify:track:200x8ONbPfFzByUr3fVz46","Cole Swindell","She Had Me At Heads Carolina","Warner Music Nashville",57,79,4,"2556270"
58,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",15,52,47,"2526791"
59,"spotify:track:5QvW5lK6mkfTegpAK9JOO7","Fivio Foreign, The Kid LAROI","Paris to Tokyo","RichFish/Columbia",59,-1,1,"2519273"
60,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",3,47,8,"2517707"
61,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,54,51,"2514990"
62,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",57,57,7,"2491024"
63,"spotify:track:65OVbaJR5O1RmwOQx0875b","Drake, Lil Baby","Wants and Needs (feat. Lil Baby)","OVO",2,65,71,"2446022"
64,"spotify:track:0rKtyWc8bvkriBthvHKY8d","Joji","SLOW DANCING IN THE DARK","88rising Music/Warner Records",29,53,195,"2425277"
65,"spotify:track:2c2tlXfEmLgUNvxngIi1qL","Brent Faiyaz","DEAD MAN WALKING","Lost Kids LLC., Marketed by Venice / Stem",65,-1,20,"2320487"
66,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",17,71,19,"2315770"
67,"spotify:track:4pi1G1x8tl9VfdD9bL3maT","Latto","Big Energy","Streamcut/RCA Records",47,67,28,"2313202"
68,"spotify:track:0e0JshRej2NwT7jahEmv52","Brent Faiyaz","ROLLING STONE","Lost Kids LLC., Marketed by Venice / Stem",68,-1,1,"2310205"
69,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",17,63,10,"2301632"
70,"spotify:track:31tf1qEai5o5f4r66Kd0pU","Childish Gambino","Me and Your Mama","Glassnote Entertainment Group LLC",70,76,13,"2296749"
71,"spotify:track:5CzixCxDkRXX9mScCmah8O","Bad Bunny","Un Ratito","Rimas Entertainment LLC",10,62,10,"2286680"
72,"spotify:track:01VzuxoBYMAJLObfU0w6dI","Brent Faiyaz, Tre' Amani","ADDICTIONS (FEAT. Tre' Amani)","Lost Kids LLC., Marketed by Venice / Stem",72,-1,1,"2280479"
73,"spotify:track:0fX4oNGBWO3dSGUZcVdVV2","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",1,59,9,"2275121"
74,"spotify:track:2krESug6AyfOL07tlaGwts","Brent Faiyaz, Alicia Keys","GHETTO GATSBY (FEAT. ALICIA KEYS)","Lost Kids LLC., Marketed by Venice / Stem",74,-1,1,"2258333"
75,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",1,64,66,"2249881"
76,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",3,89,60,"2243546"
77,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",9,90,40,"2223280"
78,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",66,66,102,"2219982"
79,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",6,60,37,"2212948"
80,"spotify:track:0y60itmpH0aPKsFiGxmtnh","WILLOW","Wait a Minute!","Roc Nation W Smith P&D",15,74,49,"2185265"
81,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",2,86,67,"2174653"
82,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",28,84,54,"2165296"
83,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",8,83,44,"2164653"
84,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",4,72,57,"2150624"
85,"spotify:track:0QNNd0qMCDbraS1nQPg3aA","Quavo, Takeoff","HOTEL LOBBY (Unc & Phew)","Quality Control Music/Motown Records",63,96,8,"2149370"
86,"spotify:track:7qTaDOcld0VmBWXnkbUj45","Lil Durk, Morgan Wallen","Broadway Girls (feat. Morgan Wallen)","Alamo",7,73,30,"2137702"
87,"spotify:track:48oQGynnS8RLiYRFsJ6pDL","Brent Faiyaz, Joony","FYTB (FEAT. JOONY)","Lost Kids LLC., Marketed by Venice / Stem",87,-1,1,"2137385"
88,"spotify:track:7mFj0LlWtEJaEigguaWqYh","Megan Thee Stallion, Dua Lipa","Sweetest Pie","300 Entertainment",6,80,18,"2136627"
89,"spotify:track:1Y5Jvi3eLi4Chwqch9GMem","Kodak Black","Super Gremlin","Atlantic Records",2,81,33,"2135643"
90,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,70,93,"2135328"
91,"spotify:track:51pshtuYkgUQnt5huMPbKL","Mac Miller, Empire of the Sun","The Spins","Rostrum Records",61,78,72,"2134299"
92,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",52,93,82,"2134265"
93,"spotify:track:5gVCfYmQRPy1QJifP8f5gg","Bailey Zimmerman","Fall In Love","Warner Music Nashville/Elektra",93,129,5,"2132941"
94,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,82,137,"2124632"
95,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",4,77,8,"2121429"
96,"spotify:track:6MF5JoJYj5uK07Si6fRAPM","Brent Faiyaz","HEAL YOUR HEART (INTERLUDE)","Lost Kids LLC., Marketed by Venice / Stem",96,-1,1,"2119243"
97,"spotify:track:6AqwH2Y9FJwhUE2dCSkw1u","Tyler Hubbard","5 Foot 9","EMI Nashville",94,144,6,"2115158"
98,"spotify:track:6N9U1wkWniSXD4TKD4ln0h","Brent Faiyaz, Drake, The Neptunes","WASTING TIME (FEAT. DRAKE & THE NEPTUNES)","Lost Kids LLC., Marketed by Venice / Stem",42,-1,3,"2109334"
99,"spotify:track:59CfNbkERJ3NoTXDvoURjj","Dove Cameron","Boyfriend","Disruptor Records/Columbia",10,97,22,"2102164"
100,"spotify:track:51Zw1cKDgkad0CXv23HCMU","Harry Styles","Daylight","Columbia",5,75,8,"2101502"
101,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,91,195,"2082881"
102,"spotify:track:1BkY0N8ChFk2mdLbAUu8ZK","Musical Youth","Pass The Dutchie","Geffen",48,69,6,"2074629"
103,"spotify:track:1JIgFmCP5OCTEGV866WP3b","Yeat","Rich Minion","Back Lot Music",29,29,2,"2056149"
104,"spotify:track:3QFInJAm9eyaho5vBzxInN","Baby Keem, Kendrick Lamar","family ties (with Kendrick Lamar)","Columbia",8,99,46,"2052067"
105,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",3,100,50,"2050771"
106,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",4,101,43,"2038057"
107,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",16,85,10,"2032794"
108,"spotify:track:1wGpEisE7VmhhSazD8hZ5l","Brent Faiyaz","ROLE MODEL","Lost Kids LLC., Marketed by Venice / Stem",108,-1,1,"2008554"
109,"spotify:track:4lfAwGFU3Zo2ZruXzRG8tw","Brent Faiyaz","VILLAIN'S THEME","Lost Kids LLC., Marketed by Venice / Stem",109,-1,1,"1990194"
110,"spotify:track:2g6tReTlM2Akp41g0HaeXN","Kendrick Lamar, Blxst, Amanda Reifer","Die Hard","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",2,95,9,"1989114"
111,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",94,123,7,"1988216"
112,"spotify:track:4kTLpAbhuEGHAAdDjOIWaa","Kid Cudi, MGMT, Ratatat","Pursuit Of Happiness (Nightmare)","Kid Cudi/Universal Records",50,159,45,"1984599"
113,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",4,94,131,"1981821"
114,"spotify:track:0uxSUdBrJy9Un0EYoBowng","Lil Uzi Vert","20 Min","Generation Now/Atlantic",48,102,127,"1969160"
115,"spotify:track:4k3lPl8YTKuY8c1HelVnm3","Cody Johnson","'Til You Can't","CoJo Music/Warner Music Nashville",68,68,21,"1963015"
116,"spotify:track:5kVZxyMY1gfdCLiChsfjn1","Bad Bunny","Yo No Soy Celoso","Rimas Entertainment LLC",12,92,10,"1959643"
